date,amount,direction,counterparty,counterparty_iban,description,reference,account_iban
2024-09-11,15605.68,credit,Little & Partners,DE26200400600087654300,Payment RE-2024-1012,RE-2024-1012,DE89370400440532013000
2024-09-15,1850.00,debit,Miller Office,DE32700100800012345000,Rent September 2024,RENT-2024-09,DE89370400440532013000
2024-09-16,11241.89,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1013,EK-2024-1013,DE89370400440532013000
2024-09-16,11228.88,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2024-1013,RE-2024-1013,DE89370400440532013000
2024-09-17,12039.56,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1014,EK-2024-1014,DE89370400440532013000
2024-09-17,12191.05,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2024-1014,RE-2024-1014,DE89370400440532013000
2024-09-18,12904.90,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1015,EK-2024-1015,DE89370400440532013000
2024-09-18,17238.89,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2024-1015,RE-2024-1015,DE89370400440532013000
2024-09-23,12601.78,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1016,EK-2024-1016,DE89370400440532013000
2024-09-23,12877.43,credit,Smith Corp,DE44500105175407324931,Payment RE-2024-1016,RE-2024-1016,DE89370400440532013000
2024-09-24,12719.23,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1017,EK-2024-1017,DE89370400440532013000
2024-09-24,13060.67,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2024-1017,RE-2024-1017,DE89370400440532013000
2024-09-25,12947.24,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1018,EK-2024-1018,DE89370400440532013000
2024-09-25,17059.93,credit,Little & Partners,DE26200400600087654300,Payment RE-2024-1018,RE-2024-1018,DE89370400440532013000
2024-09-30,13879.08,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1019,EK-2024-1019,DE89370400440532013000
2024-09-30,17667.34,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2024-1019,RE-2024-1019,DE89370400440532013000
2024-10-01,13410.71,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1020,EK-2024-1020,DE89370400440532013000
2024-10-01,17072.24,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2024-1020,RE-2024-1020,DE89370400440532013000
2024-10-02,13090.81,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1021,EK-2024-1021,DE89370400440532013000
2024-10-02,12000.00,debit,Salaries October,DE62370400440532013001,Wages and salaries October 2024,LG-2024-10,DE89370400440532013000
2024-10-02,10631.88,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2024-1021,RE-2024-1021,DE89370400440532013000
2024-10-03,950.00,debit,Telecom Business Customers,DE20200700240012345601,Telecommunications October,T-2024-10,DE89370400440532013000
2024-10-07,12087.05,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1022,EK-2024-1022,DE89370400440532013000
2024-10-07,11859.69,credit,Smith Corp,DE44500105175407324931,Payment RE-2024-1022,RE-2024-1022,DE89370400440532013000
2024-10-08,10613.56,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1023,EK-2024-1023,DE89370400440532013000
2024-10-08,22088.04,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2024-1023,RE-2024-1023,DE89370400440532013000
2024-10-09,19808.54,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1024,EK-2024-1024,DE89370400440532013000
2024-10-09,13815.36,credit,Little & Partners,DE26200400600087654300,Payment RE-2024-1024,RE-2024-1024,DE89370400440532013000
2024-10-10,3200.00,debit,Berlin City Utilities,DE58200400600971586400,Electricity September 2024,RG-STW-092024,DE89370400440532013000
2024-10-14,15470.85,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1025,EK-2024-1025,DE89370400440532013000
2024-10-14,15679.88,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2024-1025,RE-2024-1025,DE89370400440532013000
2024-10-15,13116.23,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1026,EK-2024-1026,DE89370400440532013000
2024-10-15,13061.90,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2024-1026,RE-2024-1026,DE89370400440532013000
2024-10-15,1850.00,debit,Miller Office,DE32700100800012345000,Rent October 2024,RENT-2024-10,DE89370400440532013000
2024-10-16,11107.31,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1027,EK-2024-1027,DE89370400440532013000
2024-10-16,15858.65,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2024-1027,RE-2024-1027,DE89370400440532013000
2024-10-21,16662.77,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1028,EK-2024-1028,DE89370400440532013000
2024-10-21,17197.38,credit,Smith Corp,DE44500105175407324931,Payment RE-2024-1028,RE-2024-1028,DE89370400440532013000
2024-10-22,13787.31,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1029,EK-2024-1029,DE89370400440532013000
2024-10-22,13985.57,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2024-1029,RE-2024-1029,DE89370400440532013000
2024-10-23,11282.02,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1030,EK-2024-1030,DE89370400440532013000
2024-10-23,15707.05,credit,Little & Partners,DE26200400600087654300,Payment RE-2024-1030,RE-2024-1030,DE89370400440532013000
2024-10-28,11206.39,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1031,EK-2024-1031,DE89370400440532013000
2024-10-28,18584.95,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2024-1031,RE-2024-1031,DE89370400440532013000
2024-10-29,18108.91,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1032,EK-2024-1032,DE89370400440532013000
2024-10-29,14858.63,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2024-1032,RE-2024-1032,DE89370400440532013000
2024-10-30,14430.87,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1033,EK-2024-1033,DE89370400440532013000
2024-10-30,15709.42,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2024-1033,RE-2024-1033,DE89370400440532013000
2024-11-02,12000.00,debit,Salaries November,DE62370400440532013001,Wages and salaries November 2024,LG-2024-11,DE89370400440532013000
2024-11-03,950.00,debit,Telecom Business Customers,DE20200700240012345601,Telecommunications November,T-2024-11,DE89370400440532013000
2024-11-04,11494.97,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1034,EK-2024-1034,DE89370400440532013000
2024-11-04,11447.73,credit,Smith Corp,DE44500105175407324931,Payment RE-2024-1034,RE-2024-1034,DE89370400440532013000
2024-11-05,16332.44,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1035,EK-2024-1035,DE89370400440532013000
2024-11-05,17005.59,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2024-1035,RE-2024-1035,DE89370400440532013000
2024-11-06,12743.54,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1036,EK-2024-1036,DE89370400440532013000
2024-11-06,17132.02,credit,Little & Partners,DE26200400600087654300,Payment RE-2024-1036,RE-2024-1036,DE89370400440532013000
2024-11-10,3200.00,debit,Berlin City Utilities,DE58200400600971586400,Electricity October 2024,RG-STW-102024,DE89370400440532013000
2024-11-11,15979.92,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1037,EK-2024-1037,DE89370400440532013000
2024-11-11,13157.02,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2024-1037,RE-2024-1037,DE89370400440532013000
2024-11-12,10580.44,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1038,EK-2024-1038,DE89370400440532013000
2024-11-12,17541.61,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2024-1038,RE-2024-1038,DE89370400440532013000
2024-11-13,15880.30,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1039,EK-2024-1039,DE89370400440532013000
2024-11-13,16987.51,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2024-1039,RE-2024-1039,DE89370400440532013000
2024-11-15,1850.00,debit,Miller Office,DE32700100800012345000,Rent November 2024,RENT-2024-11,DE89370400440532013000
2024-11-18,17116.46,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1040,EK-2024-1040,DE89370400440532013000
2024-11-18,22502.25,credit,Smith Corp,DE44500105175407324931,Payment RE-2024-1040,RE-2024-1040,DE89370400440532013000
2024-11-19,11492.54,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1041,EK-2024-1041,DE89370400440532013000
2024-11-19,14481.67,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2024-1041,RE-2024-1041,DE89370400440532013000
2024-11-20,15641.90,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1042,EK-2024-1042,DE89370400440532013000
2024-11-20,12736.19,credit,Little & Partners,DE26200400600087654300,Payment RE-2024-1042,RE-2024-1042,DE89370400440532013000
2024-11-25,11873.62,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1043,EK-2024-1043,DE89370400440532013000
2024-11-25,15045.18,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2024-1043,RE-2024-1043,DE89370400440532013000
2024-11-26,15090.93,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1044,EK-2024-1044,DE89370400440532013000
2024-11-26,19874.47,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2024-1044,RE-2024-1044,DE89370400440532013000
2024-11-27,19023.18,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1045,EK-2024-1045,DE89370400440532013000
2024-11-27,16751.95,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2024-1045,RE-2024-1045,DE89370400440532013000
2024-12-02,14916.56,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1046,EK-2024-1046,DE89370400440532013000
2024-12-02,12000.00,debit,Salaries December,DE62370400440532013001,Wages and salaries December 2024,LG-2024-12,DE89370400440532013000
2024-12-02,15074.62,credit,Smith Corp,DE44500105175407324931,Payment RE-2024-1046,RE-2024-1046,DE89370400440532013000
2024-12-03,17338.61,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1047,EK-2024-1047,DE89370400440532013000
2024-12-03,17899.65,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2024-1047,RE-2024-1047,DE89370400440532013000
2024-12-03,950.00,debit,Telecom Business Customers,DE20200700240012345601,Telecommunications December,T-2024-12,DE89370400440532013000
2024-12-04,10095.68,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1048,EK-2024-1048,DE89370400440532013000
2024-12-04,14610.96,credit,Little & Partners,DE26200400600087654300,Payment RE-2024-1048,RE-2024-1048,DE89370400440532013000
2024-12-09,16067.32,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1049,EK-2024-1049,DE89370400440532013000
2024-12-09,16548.98,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2024-1049,RE-2024-1049,DE89370400440532013000
2024-12-10,17508.98,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1050,EK-2024-1050,DE89370400440532013000
2024-12-10,18247.42,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2024-1050,RE-2024-1050,DE89370400440532013000
2024-12-10,3200.00,debit,Berlin City Utilities,DE58200400600971586400,Electricity November 2024,RG-STW-112024,DE89370400440532013000
2024-12-11,10320.25,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1051,EK-2024-1051,DE89370400440532013000
2024-12-11,14525.56,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2024-1051,RE-2024-1051,DE89370400440532013000
2024-12-15,1850.00,debit,Miller Office,DE32700100800012345000,Rent December 2024,RENT-2024-12,DE89370400440532013000
2024-12-16,13679.77,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1052,EK-2024-1052,DE89370400440532013000
2024-12-16,17823.40,credit,Smith Corp,DE44500105175407324931,Payment RE-2024-1052,RE-2024-1052,DE89370400440532013000
2024-12-17,14714.71,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1053,EK-2024-1053,DE89370400440532013000
2024-12-17,18608.52,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2024-1053,RE-2024-1053,DE89370400440532013000
2024-12-18,16950.11,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1054,EK-2024-1054,DE89370400440532013000
2024-12-18,14517.06,credit,Little & Partners,DE26200400600087654300,Payment RE-2024-1054,RE-2024-1054,DE89370400440532013000
2024-12-23,13509.35,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1055,EK-2024-1055,DE89370400440532013000
2024-12-23,13454.22,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2024-1055,RE-2024-1055,DE89370400440532013000
2024-12-24,13476.33,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1056,EK-2024-1056,DE89370400440532013000
2024-12-24,13483.45,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2024-1056,RE-2024-1056,DE89370400440532013000
2024-12-25,14430.53,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1057,EK-2024-1057,DE89370400440532013000
2024-12-25,19597.40,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2024-1057,RE-2024-1057,DE89370400440532013000
2024-12-30,14678.32,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1058,EK-2024-1058,DE89370400440532013000
2024-12-30,14972.06,credit,Smith Corp,DE44500105175407324931,Payment RE-2024-1058,RE-2024-1058,DE89370400440532013000
2024-12-31,13912.18,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1059,EK-2024-1059,DE89370400440532013000
2024-12-31,14159.94,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2024-1059,RE-2024-1059,DE89370400440532013000
2025-01-01,14081.42,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2025-1001,EK-2025-1001,DE89370400440532013000
2025-01-01,18813.97,credit,Little & Partners,DE26200400600087654300,Payment RE-2025-1001,RE-2025-1001,DE89370400440532013000
2025-01-02,12000.00,debit,Salaries January,DE62370400440532013001,Wages and salaries January 2025,LG-2025-01,DE89370400440532013000
2025-01-03,950.00,debit,Telecom Business Customers,DE20200700240012345601,Telecommunications January,T-2025-01,DE89370400440532013000
2025-01-06,15664.79,debit,TechParts Inc,DE02120300000000202051,Payment EK-2025-1002,EK-2025-1002,DE89370400440532013000
2025-01-06,16236.75,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2025-1002,RE-2025-1002,DE89370400440532013000
2025-01-07,14307.23,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2025-1003,EK-2025-1003,DE89370400440532013000
2025-01-07,14748.39,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2025-1003,RE-2025-1003,DE89370400440532013000
2025-01-08,13846.42,debit,Miller Office,DE32700100800012345000,Payment EK-2025-1004,EK-2025-1004,DE89370400440532013000
2025-01-08,18249.06,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2025-1004,RE-2025-1004,DE89370400440532013000
2025-01-10,3200.00,debit,Berlin City Utilities,DE58200400600971586400,Electricity December 2024,RG-STW-122024,DE89370400440532013000
2025-01-13,10576.22,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2025-1005,EK-2025-1005,DE89370400440532013000
2025-01-13,13071.90,credit,Smith Corp,DE44500105175407324931,Payment RE-2025-1005,RE-2025-1005,DE89370400440532013000
2025-01-14,17731.24,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2025-1006,EK-2025-1006,DE89370400440532013000
2025-01-14,23466.25,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2025-1006,RE-2025-1006,DE89370400440532013000
2025-01-15,16544.05,debit,TechParts Inc,DE02120300000000202051,Payment EK-2025-1007,EK-2025-1007,DE89370400440532013000
2025-01-15,13856.81,credit,Little & Partners,DE26200400600087654300,Payment RE-2025-1007,RE-2025-1007,DE89370400440532013000
2025-01-15,1850.00,debit,Miller Office,DE32700100800012345000,Rent January 2025,RENT-2025-01,DE89370400440532013000
2025-01-20,13039.50,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2025-1008,EK-2025-1008,DE89370400440532013000
2025-01-20,17074.64,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2025-1008,RE-2025-1008,DE89370400440532013000
2025-01-21,10112.69,debit,Miller Office,DE32700100800012345000,Payment EK-2025-1009,EK-2025-1009,DE89370400440532013000
2025-01-21,12823.42,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2025-1009,RE-2025-1009,DE89370400440532013000
2025-01-22,17526.75,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2025-1010,EK-2025-1010,DE89370400440532013000
2025-01-22,15808.61,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2025-1010,RE-2025-1010,DE89370400440532013000
2025-01-27,17504.68,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2025-1011,EK-2025-1011,DE89370400440532013000
2025-01-27,18044.57,credit,Smith Corp,DE44500105175407324931,Payment RE-2025-1011,RE-2025-1011,DE89370400440532013000
2025-01-28,13422.97,debit,TechParts Inc,DE02120300000000202051,Payment EK-2025-1012,EK-2025-1012,DE89370400440532013000
2025-01-28,13459.74,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2025-1012,RE-2025-1012,DE89370400440532013000
2025-01-29,10621.83,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2025-1013,EK-2025-1013,DE89370400440532013000
2025-01-29,15180.49,credit,Little & Partners,DE26200400600087654300,Payment RE-2025-1013,RE-2025-1013,DE89370400440532013000
2025-02-02,12000.00,debit,Salaries February,DE62370400440532013001,Wages and salaries February 2025,LG-2025-02,DE89370400440532013000
2025-02-03,11348.01,debit,Miller Office,DE32700100800012345000,Payment EK-2025-1014,EK-2025-1014,DE89370400440532013000
2025-02-03,18825.59,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2025-1014,RE-2025-1014,DE89370400440532013000
2025-02-03,950.00,debit,Telecom Business Customers,DE20200700240012345601,Telecommunications February,T-2025-02,DE89370400440532013000
2025-02-04,17478.14,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2025-1015,EK-2025-1015,DE89370400440532013000
2025-02-04,13976.20,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2025-1015,RE-2025-1015,DE89370400440532013000
2025-02-05,13488.01,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2025-1016,EK-2025-1016,DE89370400440532013000
2025-02-05,14742.21,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2025-1016,RE-2025-1016,DE89370400440532013000
2025-02-10,11266.51,debit,TechParts Inc,DE02120300000000202051,Payment EK-2025-1017,EK-2025-1017,DE89370400440532013000
2025-02-10,11184.20,credit,Smith Corp,DE44500105175407324931,Payment RE-2025-1017,RE-2025-1017,DE89370400440532013000
2025-02-10,3200.00,debit,Berlin City Utilities,DE58200400600971586400,Electricity January 2025,RG-STW-012025,DE89370400440532013000
2025-02-11,15282.84,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2025-1018,EK-2025-1018,DE89370400440532013000
2025-02-11,15812.77,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2025-1018,RE-2025-1018,DE89370400440532013000
2025-02-12,11566.07,debit,Miller Office,DE32700100800012345000,Payment EK-2025-1019,EK-2025-1019,DE89370400440532013000
2025-02-12,15829.35,credit,Little & Partners,DE26200400600087654300,Payment RE-2025-1019,RE-2025-1019,DE89370400440532013000
2025-02-15,1850.00,debit,Miller Office,DE32700100800012345000,Rent February 2025,RENT-2025-02,DE89370400440532013000
2025-02-17,12251.97,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2025-1020,EK-2025-1020,DE89370400440532013000
2025-02-17,12469.34,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2025-1020,RE-2025-1020,DE89370400440532013000
2025-02-18,15195.38,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2025-1021,EK-2025-1021,DE89370400440532013000
2025-02-18,15864.50,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2025-1021,RE-2025-1021,DE89370400440532013000
2025-02-19,11321.90,debit,TechParts Inc,DE02120300000000202051,Payment EK-2025-1022,EK-2025-1022,DE89370400440532013000
2025-02-19,15227.12,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2025-1022,RE-2025-1022,DE89370400440532013000
2025-02-24,15955.21,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2025-1023,EK-2025-1023,DE89370400440532013000
2025-02-24,16548.15,credit,Smith Corp,DE44500105175407324931,Payment RE-2025-1023,RE-2025-1023,DE89370400440532013000
2025-02-25,9766.39,debit,Miller Office,DE32700100800012345000,Payment EK-2025-1024,EK-2025-1024,DE89370400440532013000
2025-02-25,9563.08,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2025-1024,RE-2025-1024,DE89370400440532013000
2025-02-26,13616.03,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2025-1025,EK-2025-1025,DE89370400440532013000
2025-02-26,18088.36,credit,Little & Partners,DE26200400600087654300,Payment RE-2025-1025,RE-2025-1025,DE89370400440532013000
2025-03-02,12000.00,debit,Salaries March,DE62370400440532013001,Wages and salaries March 2025,LG-2025-03,DE89370400440532013000
2025-03-03,10712.14,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2025-1026,EK-2025-1026,DE89370400440532013000
2025-03-03,13828.34,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2025-1026,RE-2025-1026,DE89370400440532013000
2025-03-03,950.00,debit,Telecom Business Customers,DE20200700240012345601,Telecommunications March,T-2025-03,DE89370400440532013000
2025-03-04,12779.00,debit,TechParts Inc,DE02120300000000202051,Payment EK-2025-1027,EK-2025-1027,DE89370400440532013000
2025-03-04,17031.24,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2025-1027,RE-2025-1027,DE89370400440532013000
2025-03-05,16337.68,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2025-1028,EK-2025-1028,DE89370400440532013000
2025-03-05,13891.90,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2025-1028,RE-2025-1028,DE89370400440532013000
2025-03-10,10496.69,debit,Miller Office,DE32700100800012345000,Payment EK-2025-1029,EK-2025-1029,DE89370400440532013000
2025-03-10,13414.63,credit,Smith Corp,DE44500105175407324931,Payment RE-2025-1029,RE-2025-1029,DE89370400440532013000
2025-03-10,3200.00,debit,Berlin City Utilities,DE58200400600971586400,Electricity February 2025,RG-STW-022025,DE89370400440532013000
2025-03-11,11519.00,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2025-1030,EK-2025-1030,DE89370400440532013000
2025-03-11,14952.67,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2025-1030,RE-2025-1030,DE89370400440532013000
2025-03-12,13751.68,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2025-1031,EK-2025-1031,DE89370400440532013000
2025-03-12,11820.75,credit,Little & Partners,DE26200400600087654300,Payment RE-2025-1031,RE-2025-1031,DE89370400440532013000
2025-03-15,1850.00,debit,Miller Office,DE32700100800012345000,Rent March 2025,RENT-2025-03,DE89370400440532013000
2025-03-17,13911.07,debit,TechParts Inc,DE02120300000000202051,Payment EK-2025-1032,EK-2025-1032,DE89370400440532013000
2025-03-17,14308.01,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2025-1032,RE-2025-1032,DE89370400440532013000
2025-03-18,14386.20,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2025-1033,EK-2025-1033,DE89370400440532013000
2025-03-18,14901.15,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2025-1033,RE-2025-1033,DE89370400440532013000
2025-03-19,7936.46,debit,Miller Office,DE32700100800012345000,Payment EK-2025-1034,EK-2025-1034,DE89370400440532013000
2025-03-19,11502.90,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2025-1034,RE-2025-1034,DE89370400440532013000
2025-03-24,11771.27,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2025-1035,EK-2025-1035,DE89370400440532013000
